Title,Description,Manual,Price,test_str,bart_classification,mDeBERTa_classification,DeBERTa-v3-base-mnli-fever-anli,deberta-v3-base-zeroshot-v1.1-all-33,mDeBERTa-v3-base-mnli-xnli
SAGANAKI FONDUE,"feta, graviera, manouri, pepper jam",Vegetarian,22,"SAGANAKI FONDUE : feta, graviera, manouri, pepper jam",not vegetarian,vegetarian,not vegetarian,vegetarian,vegetarian
SPANAKOPITA SPRING ROLLS,"spinach, mint, parsley, leeks, feta",Vegetarian,20,"SPANAKOPITA SPRING ROLLS : spinach, mint, parsley, leeks, feta",not vegetarian,vegetarian,not vegetarian,vegetarian,vegetarian
GRILLED OCTOPUS,hummus,Not Vegetarian,28,GRILLED OCTOPUS : hummus,not vegetarian,not vegetarian,not vegetarian,not vegetarian,not vegetarian
CHICKEN GYRO BAO BUNS,"pickled cucumbers, tzatziki",Not Vegetarian,22,"CHICKEN GYRO BAO BUNS : pickled cucumbers, tzatziki",not vegetarian,not vegetarian,not vegetarian,vegetarian,not vegetarian
TUNA TARTARE,"yuzu, calabrian chili, shallots",Not Vegetarian,26,"TUNA TARTARE : yuzu, calabrian chili, shallots",not vegetarian,not vegetarian,not vegetarian,not vegetarian,not vegetarian
LAMB KEFTEDES,"spiced lamb, pickled onion, tabouleh",Not Vegetarian,22,"LAMB KEFTEDES : spiced lamb, pickled onion, tabouleh",not vegetarian,not vegetarian,not vegetarian,not vegetarian,not vegetarian
CHICKEN SOUVLAKI,"grilled vegetables, baldo rice",Not Vegetarian,36,"CHICKEN SOUVLAKI : grilled vegetables, baldo rice",not vegetarian,not vegetarian,not vegetarian,vegetarian,not vegetarian
ROASTED KING SALMON,"caper vinaigrette, cauliflower puree, spinach",Not Vegetarian,34,"ROASTED KING SALMON : caper vinaigrette, cauliflower puree, spinach",not vegetarian,not vegetarian,not vegetarian,vegetarian,not vegetarian
SHRIMP ORZO,"tomato, buttered leeks, ouzo",Not Vegetarian,38,"SHRIMP ORZO : tomato, buttered leeks, ouzo",not vegetarian,vegetarian,not vegetarian,not vegetarian,vegetarian
LAVRAKI,whole mediterranean sea bass,Not Vegetarian,82,LAVRAKI : whole mediterranean sea bass,not vegetarian,not vegetarian,not vegetarian,not vegetarian,not vegetarian
GRILLED AUSTRALIAN LAMB CHOPS,"roasted potatoes, tzatziki",Not Vegetarian,48,"GRILLED AUSTRALIAN LAMB CHOPS : roasted potatoes, tzatziki",not vegetarian,not vegetarian,not vegetarian,not vegetarian,not vegetarian
MARINATED NEW YORK STRIP,"creekstone farms new york strip, herbed fries",Not Vegetarian,46,"MARINATED NEW YORK STRIP : creekstone farms new york strip, herbed fries",not vegetarian,not vegetarian,not vegetarian,vegetarian,not vegetarian
THE LOLA TOMAHAWK,snake river farms american wagyu,Not Vegetarian,195,THE LOLA TOMAHAWK : snake river farms american wagyu,not vegetarian,not vegetarian,not vegetarian,vegetarian,not vegetarian
WHIPPED RICOTTA,"BROWN BUTTER, HONEY, SAGE (GF)",Vegetarian,12,"WHIPPED RICOTTA : BROWN BUTTER, HONEY, SAGE (GF)",not vegetarian,not vegetarian,not vegetarian,not vegetarian,not vegetarian
LABNE,"ZA'ATAR, OLIVE OIL (GF)",Vegetarian,11,"LABNE : ZA'ATAR, OLIVE OIL (GF)",not vegetarian,not vegetarian,not vegetarian,not vegetarian,not vegetarian
BABAGANOUSH,"GINGER AIOLI, ZA’ATAR (GF, DF)",Vegetarian,12,"BABAGANOUSH : GINGER AIOLI, ZA’ATAR (GF, DF)",not vegetarian,not vegetarian,not vegetarian,not vegetarian,not vegetarian
BEET HUMMUS,"BEETS, TAHINI, GOAT CHEESE, ORANGES (GF, DF, V)",Vegetarian,11,"BEET HUMMUS : BEETS, TAHINI, GOAT CHEESE, ORANGES (GF, DF, V)",not vegetarian,vegetarian,not vegetarian,vegetarian,vegetarian
MUHAMARRA,"ROASTED RED PEPPER, WALNUT, BREADCRUMBS (GF, DF, V)",Vegetarian,12,"MUHAMARRA : ROASTED RED PEPPER, WALNUT, BREADCRUMBS (GF, DF, V)",not vegetarian,not vegetarian,not vegetarian,not vegetarian,not vegetarian
SWEET POTATO HUMMUS,"CREME FRAICHE, PAPRIKA OIL, ALMONDS (GF, DF, V)",Vegetarian,12,"SWEET POTATO HUMMUS : CREME FRAICHE, PAPRIKA OIL, ALMONDS (GF, DF, V)",not vegetarian,not vegetarian,not vegetarian,vegetarian,not vegetarian
CRISPY CAULIFLOWER,"PARSLEY, SILAN (GF, DF, V)",Vegetarian,15,"CRISPY CAULIFLOWER : PARSLEY, SILAN (GF, DF, V)",not vegetarian,not vegetarian,not vegetarian,vegetarian,not vegetarian
LAMB SHAWARMA,"AMBA, HARISSA (GF, DF)",Not Vegetarian,18,"LAMB SHAWARMA : AMBA, HARISSA (GF, DF)",not vegetarian,not vegetarian,not vegetarian,not vegetarian,not vegetarian
SAUTEED CHICKEN LIVER,"CARAMELIZED ONION, BALSAMIC",Not Vegetarian,16,"SAUTEED CHICKEN LIVER : CARAMELIZED ONION, BALSAMIC",not vegetarian,not vegetarian,not vegetarian,not vegetarian,not vegetarian
MERGUEZ,"GROUND LAMB, HARISSA, PICKLES (GF, DF)",Not Vegetarian,16,"MERGUEZ : GROUND LAMB, HARISSA, PICKLES (GF, DF)",not vegetarian,not vegetarian,not vegetarian,not vegetarian,not vegetarian
CHICKEN SHAWARMA,"SHAWARMA SPICES, AMBA, HARISSA (GF, DF)",Not Vegetarian,16,"CHICKEN SHAWARMA : SHAWARMA SPICES, AMBA, HARISSA (GF, DF)",not vegetarian,not vegetarian,not vegetarian,not vegetarian,not vegetarian
SHORT RIB,"ALMONDS, HARISSA, CURRANTS (GF, DF)",Not Vegetarian,17,"SHORT RIB : ALMONDS, HARISSA, CURRANTS (GF, DF)",not vegetarian,not vegetarian,not vegetarian,not vegetarian,not vegetarian
FALL SALAD HUMMUS,"SQUASH, SHIITAKE, ROSEMARY (GF, DF, V)",Vegetarian,15,"FALL SALAD HUMMUS : SQUASH, SHIITAKE, ROSEMARY (GF, DF, V)",not vegetarian,not vegetarian,not vegetarian,not vegetarian,not vegetarian
KOFTA KEBAB,"BAHARAT, HARISSA, PINE NUTS (GF, DF)",Not Vegetarian,16,"KOFTA KEBAB : BAHARAT, HARISSA, PINE NUTS (GF, DF)",not vegetarian,not vegetarian,not vegetarian,not vegetarian,not vegetarian
CHICKEN THIGH,"TAHINI, HARISSA (GF, DF)",Not Vegetarian,13,"CHICKEN THIGH : TAHINI, HARISSA (GF, DF)",not vegetarian,not vegetarian,not vegetarian,not vegetarian,not vegetarian
HALLOUMI,"GREEN TAHINI, SUMAC ONIONS, LEMON (GF)",Vegetarian,13,"HALLOUMI : GREEN TAHINI, SUMAC ONIONS, LEMON (GF)",not vegetarian,not vegetarian,not vegetarian,vegetarian,not vegetarian
SALMON BELLY,"LABNE, CHARMOULA (GF, DF)",Not Vegetarian,13,"SALMON BELLY : LABNE, CHARMOULA (GF, DF)",not vegetarian,vegetarian,not vegetarian,not vegetarian,vegetarian
MARKET SALAD,"FROM THE FARMS, ROTATING DAILY (GF, DF, V)",Vegetarian,16,"MARKET SALAD : FROM THE FARMS, ROTATING DAILY (GF, DF, V)",not vegetarian,not vegetarian,not vegetarian,vegetarian,not vegetarian
KALE SALAD,"BEETS, PUMPKIN SEEDS, APPLE, FETA CHEESE, MISO-TAHINI DRESSING (GF, DF, V)",Vegetarian,16,"KALE SALAD : BEETS, PUMPKIN SEEDS, APPLE, FETA CHEESE, MISO-TAHINI DRESSING (GF, DF, V)",not vegetarian,not vegetarian,not vegetarian,vegetarian,not vegetarian
CHICORY SALAD,"OLIVES, BREADCRUMBS, HONEY HABENERO VINAIGRETTE (GF, DF, V)",Vegetarian,16,"CHICORY SALAD : OLIVES, BREADCRUMBS, HONEY HABENERO VINAIGRETTE (GF, DF, V)",not vegetarian,not vegetarian,not vegetarian,vegetarian,not vegetarian
OCTOPUS,"EGGPLANT PUREE, CHARRED PEPPERS, CASTELVELTRANO OLIVES (GF, DF)",Not Vegetarian,19,"OCTOPUS : EGGPLANT PUREE, CHARRED PEPPERS, CASTELVELTRANO OLIVES (GF, DF)",not vegetarian,not vegetarian,not vegetarian,not vegetarian,not vegetarian
STRACCIATELLA,"EGGPLANT, DATES, BREADCRUMBS (GF)",Vegetarian,18,"STRACCIATELLA : EGGPLANT, DATES, BREADCRUMBS (GF)",not vegetarian,not vegetarian,not vegetarian,not vegetarian,not vegetarian
FALAFEL,"FETA, TAGGIASCA OLIVES, GREEN TAHINI (GF)",Vegetarian,16,"FALAFEL : FETA, TAGGIASCA OLIVES, GREEN TAHINI (GF)",not vegetarian,not vegetarian,not vegetarian,not vegetarian,not vegetarian
WHOLE BRANZINO,"MARKET SALAD, CHARMOULA, LEMON (GF, DF)",Not Vegetarian,MP,"WHOLE BRANZINO : MARKET SALAD, CHARMOULA, LEMON (GF, DF)",not vegetarian,not vegetarian,not vegetarian,not vegetarian,not vegetarian
ZA'ATAR CRUSTED SALMON,"LABNE, CHARRED SHALLOTS, JAPANESE EGGPLANT, AMBA (GF, DF)",Not Vegetarian,30,"ZA'ATAR CRUSTED SALMON : LABNE, CHARRED SHALLOTS, JAPANESE EGGPLANT, AMBA (GF, DF)",not vegetarian,not vegetarian,not vegetarian,not vegetarian,not vegetarian
HALF BRICK CHICKEN,"TAGGIASCA OLIVES, PRESERVED LEMON, HARISSA (GF, DF)",Not Vegetarian,29,"HALF BRICK CHICKEN : TAGGIASCA OLIVES, PRESERVED LEMON, HARISSA (GF, DF)",not vegetarian,not vegetarian,not vegetarian,not vegetarian,not vegetarian
HANGER STEAK,"WARM CHICKPEA SALAD, GREEN TAHINI (GF)",Not Vegetarian,32,"HANGER STEAK : WARM CHICKPEA SALAD, GREEN TAHINI (GF)",not vegetarian,not vegetarian,not vegetarian,vegetarian,not vegetarian
SHAKSHUKA,"POACHED EGG, GOAT CHEESE, PARSLEY (GF, DF, V)",Vegetarian,23,"SHAKSHUKA : POACHED EGG, GOAT CHEESE, PARSLEY (GF, DF, V)",not vegetarian,vegetarian,not vegetarian,vegetarian,vegetarian
Pork Soup Dumplings,bite sized explosions of porky goodness,Not Vegetarian,18,Pork Soup Dumplings : bite sized explosions of porky goodness,not vegetarian,not vegetarian,not vegetarian,not vegetarian,not vegetarian
Chicken Soup Dumplings,good for the soul,Not Vegetarian,18,Chicken Soup Dumplings : good for the soul,not vegetarian,not vegetarian,not vegetarian,not vegetarian,not vegetarian
Crab and Pork Soup Dumpling,fresh blue crab + niman ranch pork,Not Vegetarian,21,Crab and Pork Soup Dumpling : fresh blue crab + niman ranch pork,not vegetarian,not vegetarian,not vegetarian,not vegetarian,not vegetarian
Beef Pan Fried Dumplings,house ground creekstone farms beef + curry,Not Vegetarian,18,Beef Pan Fried Dumplings : house ground creekstone farms beef + curry,not vegetarian,not vegetarian,not vegetarian,not vegetarian,not vegetarian
Pork + Chive Dumplings,house-ground niman ranch pork + chinese chives,Not Vegetarian,18,Pork + Chive Dumplings : house-ground niman ranch pork + chinese chives,not vegetarian,not vegetarian,not vegetarian,not vegetarian,not vegetarian
Vegetable Dumplings,"bok choy, free range egg + glass noodle",Vegetarian,18,"Vegetable Dumplings : bok choy, free range egg + glass noodle",vegetarian,vegetarian,vegetarian,vegetarian,vegetarian
Mushroom Dumplings,shiitake + truffle,Vegetarian,18,Mushroom Dumplings : shiitake + truffle,not vegetarian,not vegetarian,not vegetarian,vegetarian,not vegetarian
Niman Ranch Cumin Pork Ribs,"“tender, fall-off-the-bone” - jocelyn on yelp",Not Vegetarian,21,"Niman Ranch Cumin Pork Ribs : “tender, fall-off-the-bone” - jocelyn on yelp",not vegetarian,not vegetarian,not vegetarian,not vegetarian,not vegetarian
House Special Shrimp,tiger shrimp kung pao'd,Not Vegetarian,18,House Special Shrimp : tiger shrimp kung pao'd,not vegetarian,not vegetarian,not vegetarian,not vegetarian,not vegetarian
Spicy Wontons,niman ranch pork + house crack sauce,Not Vegetarian,21,Spicy Wontons : niman ranch pork + house crack sauce,not vegetarian,not vegetarian,not vegetarian,not vegetarian,not vegetarian
Crispy Pork Belly,"tea marinated niman ranch pork, jasmine tea crisp + sweet marinade jus",Not Vegetarian,19,"Crispy Pork Belly : tea marinated niman ranch pork, jasmine tea crisp + sweet marinade jus",not vegetarian,not vegetarian,not vegetarian,not vegetarian,not vegetarian
Spicy Marinated Cucumbers,"sesame, garlic + chilli",Vegetarian,10,"Spicy Marinated Cucumbers : sesame, garlic + chilli",not vegetarian,not vegetarian,not vegetarian,not vegetarian,not vegetarian
Peking Duck,traditional accompaniments. PLEASE ALLOW AT LEAST ONE HOUR FOR PREPARATION,Not Vegetarian,115,Peking Duck : traditional accompaniments. PLEASE ALLOW AT LEAST ONE HOUR FOR PREPARATION,not vegetarian,not vegetarian,not vegetarian,not vegetarian,not vegetarian
Wind Sand Chicken,"3-day marinated whole Lancaster chicken, crispy garlic + bread crumbs. PLEASE ALLOW AT LEAST 45 MINUTES FOR PREPARATION",Not Vegetarian,49,"Wind Sand Chicken : 3-day marinated whole Lancaster chicken, crispy garlic + bread crumbs. PLEASE ALLOW AT LEAST 45 MINUTES FOR PREPARATION",not vegetarian,not vegetarian,not vegetarian,not vegetarian,not vegetarian
Hong Kong Style Lobster,"morel mushrooms, wood ear + baby corn",Not Vegetarian,88,"Hong Kong Style Lobster : morel mushrooms, wood ear + baby corn",not vegetarian,not vegetarian,not vegetarian,vegetarian,not vegetarian
Typhoon Shelter Shellfish,"diver scallops, shrimp, dried chilli, garlic + spring onions",Not Vegetarian,42,"Typhoon Shelter Shellfish : diver scallops, shrimp, dried chilli, garlic + spring onions",not vegetarian,not vegetarian,not vegetarian,not vegetarian,not vegetarian
Creekstone Farms Ribeye,sichuan spicy doubanjiang OR cantonese black pepper,Not Vegetarian,55,Creekstone Farms Ribeye : sichuan spicy doubanjiang OR cantonese black pepper,not vegetarian,not vegetarian,not vegetarian,vegetarian,not vegetarian
Three Cup Chicken,"bell & evans organic dark meat, basil + shallot",Not Vegetarian,36,"Three Cup Chicken : bell & evans organic dark meat, basil + shallot",not vegetarian,not vegetarian,not vegetarian,not vegetarian,not vegetarian
Snow Crab in a Chinese Restaurant,"hand-shelled crab, fermented doubanjiang + glass noodles",Not Vegetarian,48,"Snow Crab in a Chinese Restaurant : hand-shelled crab, fermented doubanjiang + glass noodles",not vegetarian,not vegetarian,not vegetarian,not vegetarian,not vegetarian
Crispy Red Snapper,"chinese okra, ginger + soy sauce",Not Vegetarian,39,"Crispy Red Snapper : chinese okra, ginger + soy sauce",not vegetarian,not vegetarian,not vegetarian,vegetarian,not vegetarian
Steak Fried Rice,american wagyu bavette,Not Vegetarian,27,Steak Fried Rice : american wagyu bavette,not vegetarian,not vegetarian,not vegetarian,not vegetarian,not vegetarian
Seafood Fried Rice,"octopus, bay scallop, shrimp + house XO",Not Vegetarian,23,"Seafood Fried Rice : octopus, bay scallop, shrimp + house XO",not vegetarian,not vegetarian,not vegetarian,not vegetarian,not vegetarian
Zha Jiang Noodle,"peking duck ragu, tomato, english cucumber",Not Vegetarian,22,"Zha Jiang Noodle : peking duck ragu, tomato, english cucumber",not vegetarian,vegetarian,not vegetarian,vegetarian,vegetarian
Dan Dan Noodle,niman ranch pork + crushed peanuts. *dinner only*,Not Vegetarian,21,Dan Dan Noodle : niman ranch pork + crushed peanuts. *dinner only*,not vegetarian,not vegetarian,not vegetarian,not vegetarian,not vegetarian
Taiwanese Beef Noodle Soup,overnight bone broth + pasture raised beef shank,Not Vegetarian,24,Taiwanese Beef Noodle Soup : overnight bone broth + pasture raised beef shank,not vegetarian,not vegetarian,not vegetarian,not vegetarian,not vegetarian
Sichuan String Beans,niman ranch pork + dried shrimp,Not Vegetarian,15,Sichuan String Beans : niman ranch pork + dried shrimp,not vegetarian,not vegetarian,not vegetarian,not vegetarian,not vegetarian
Crispy Brussels Sprouts,"chinese sausage, thai chilli + lemon",Not Vegetarian,15,"Crispy Brussels Sprouts : chinese sausage, thai chilli + lemon",not vegetarian,not vegetarian,not vegetarian,vegetarian,not vegetarian
Eggplant,long pepper + house garlic sauce,Vegetarian,14,Eggplant : long pepper + house garlic sauce,not vegetarian,not vegetarian,not vegetarian,vegetarian,not vegetarian
Pea Shoots,fresh garlic,Vegetarian,19,Pea Shoots : fresh garlic,not vegetarian,not vegetarian,not vegetarian,not vegetarian,not vegetarian
Ma Po Tofu,angus beef + sichuan peppercorn,Not Vegetarian,16,Ma Po Tofu : angus beef + sichuan peppercorn,not vegetarian,not vegetarian,not vegetarian,vegetarian,not vegetarian
Sticky Toffee Donut,fresh chantilly cream,Vegetarian,16,Sticky Toffee Donut : fresh chantilly cream,not vegetarian,not vegetarian,not vegetarian,not vegetarian,not vegetarian
Panna Cotta,mango + grapefruit,Vegetarian,13,Panna Cotta : mango + grapefruit,not vegetarian,not vegetarian,not vegetarian,vegetarian,not vegetarian
Chocolate Torte,chocolate crunch + black tea cream,Vegetarian,15,Chocolate Torte : chocolate crunch + black tea cream,not vegetarian,not vegetarian,not vegetarian,not vegetarian,not vegetarian
Bacon Egg + Cheese Dumplings,"niman ranch bacon, ny cheddar + free range eggs",Not Vegetarian,18,"Bacon Egg + Cheese Dumplings : niman ranch bacon, ny cheddar + free range eggs",not vegetarian,not vegetarian,not vegetarian,vegetarian,not vegetarian
Shrimp Shao Mai,tiger shrimp + ginger,Not Vegetarian,15,Shrimp Shao Mai : tiger shrimp + ginger,not vegetarian,not vegetarian,not vegetarian,not vegetarian,not vegetarian
Sweet Pork Buns,"char siu pork, orange + mantou",Not Vegetarian,15,"Sweet Pork Buns : char siu pork, orange + mantou",not vegetarian,not vegetarian,not vegetarian,not vegetarian,not vegetarian
Sweet + Sour Pork,"niman ranch pork, local strawberries + bell pepper",Not Vegetarian,16,"Sweet + Sour Pork : niman ranch pork, local strawberries + bell pepper",not vegetarian,not vegetarian,not vegetarian,not vegetarian,not vegetarian
Shrimp Cakes,"tiger shrimp, atlantic cod + almonds",Not Vegetarian,13,"Shrimp Cakes : tiger shrimp, atlantic cod + almonds",not vegetarian,not vegetarian,not vegetarian,not vegetarian,not vegetarian
Vegetable Spring Rolls,"napa, shiitake + glass noodle",Vegetarian,16,"Vegetable Spring Rolls : napa, shiitake + glass noodle",vegetarian,vegetarian,vegetarian,vegetarian,vegetarian
Braised Pork Sticky Rice,"niman ranch pork belly, shiitake + banana leaf rice",Not Vegetarian,16,"Braised Pork Sticky Rice : niman ranch pork belly, shiitake + banana leaf rice",not vegetarian,not vegetarian,not vegetarian,not vegetarian,not vegetarian
Shanghai Pork Chop,pickled scallions,Not Vegetarian,12,Shanghai Pork Chop : pickled scallions,not vegetarian,not vegetarian,not vegetarian,not vegetarian,not vegetarian
Turnip Cake,"dried shrimp, lap cheong + pickled peppers",Not Vegetarian,18,"Turnip Cake : dried shrimp, lap cheong + pickled peppers",not vegetarian,not vegetarian,not vegetarian,vegetarian,not vegetarian
Breakfast Dan Dan Noodles,niman ranch bacon + soft poached free range egg,Not Vegetarian,23,Breakfast Dan Dan Noodles : niman ranch bacon + soft poached free range egg,not vegetarian,vegetarian,not vegetarian,not vegetarian,vegetarian
Add 2 Eggs,scrambled / soft poached / sunny side,Vegetarian,8,Add 2 Eggs : scrambled / soft poached / sunny side,not vegetarian,not vegetarian,not vegetarian,not vegetarian,not vegetarian
