Title,Description,Manual,Price,test_str,bart-large-mnli,mDeBERTa-v3-base-mnli-xnli,DeBERTa-v3-base-mnli-fever-anli,deberta-v3-base-zeroshot-v1.1-all-33
WHOLE BRANZINO,"MARKET SALAD, CHARMOULA, LEMON (GF, DF)",not vegetarian,MP,"WHOLE BRANZINO : MARKET SALAD, CHARMOULA, LEMON (GF, DF)",meat,vegetarian,vegetarian,vegetarian
ZA'ATAR CRUSTED SALMON,"LABNE, CHARRED SHALLOTS, JAPANESE EGGPLANT, AMBA (GF, DF)",not vegetarian,30,"ZA'ATAR CRUSTED SALMON : LABNE, CHARRED SHALLOTS, JAPANESE EGGPLANT, AMBA (GF, DF)",meat,vegetarian,meat,meat
HALF BRICK CHICKEN,"TAGGIASCA OLIVES, PRESERVED LEMON, HARISSA (GF, DF)",not vegetarian,29,"HALF BRICK CHICKEN : TAGGIASCA OLIVES, PRESERVED LEMON, HARISSA (GF, DF)",meat,meat,meat,meat
HANGER STEAK,"WARM CHICKPEA SALAD, GREEN TAHINI (GF)",not vegetarian,32,"HANGER STEAK : WARM CHICKPEA SALAD, GREEN TAHINI (GF)",meat,meat,meat,meat
SHAKSHUKA,"POACHED EGG, GOAT CHEESE, PARSLEY (GF, DF, V)",vegetarian,23,"SHAKSHUKA : POACHED EGG, GOAT CHEESE, PARSLEY (GF, DF, V)",meat,vegetarian,vegetarian,vegetarian
Pork Soup Dumplings,bite sized explosions of porky goodness,not vegetarian,18,Pork Soup Dumplings : bite sized explosions of porky goodness,meat,meat,meat,meat
Chicken Soup Dumplings,good for the soul,not vegetarian,18,Chicken Soup Dumplings : good for the soul,meat,meat,meat,vegetarian
Crab and Pork Soup Dumpling,fresh blue crab + niman ranch pork,not vegetarian,21,Crab and Pork Soup Dumpling : fresh blue crab + niman ranch pork,meat,meat,meat,meat
Beef Pan Fried Dumplings,house ground creekstone farms beef + curry,not vegetarian,18,Beef Pan Fried Dumplings : house ground creekstone farms beef + curry,meat,meat,meat,meat
Pork + Chive Dumplings,house-ground niman ranch pork + chinese chives,not vegetarian,18,Pork + Chive Dumplings : house-ground niman ranch pork + chinese chives,meat,meat,meat,meat
Vegetable Dumplings,"bok choy, free range egg + glass noodle",vegetarian,18,"Vegetable Dumplings : bok choy, free range egg + glass noodle",vegetarian,vegetarian,vegetarian,vegetarian
Mushroom Dumplings,shiitake + truffle,vegetarian,18,Mushroom Dumplings : shiitake + truffle,meat,vegetarian,vegetarian,vegetarian
Niman Ranch Cumin Pork Ribs,"“tender, fall-off-the-bone” - jocelyn on yelp",not vegetarian,21,"Niman Ranch Cumin Pork Ribs : “tender, fall-off-the-bone” - jocelyn on yelp",meat,meat,meat,meat
House Special Shrimp,tiger shrimp kung pao'd,not vegetarian,18,House Special Shrimp : tiger shrimp kung pao'd,meat,meat,meat,meat
Spicy Wontons,niman ranch pork + house crack sauce,not vegetarian,21,Spicy Wontons : niman ranch pork + house crack sauce,meat,meat,meat,meat
Crispy Pork Belly,"tea marinated niman ranch pork, jasmine tea crisp + sweet marinade jus",not vegetarian,19,"Crispy Pork Belly : tea marinated niman ranch pork, jasmine tea crisp + sweet marinade jus",meat,meat,meat,meat
Spicy Marinated Cucumbers,"sesame, garlic + chilli",vegetarian,10,"Spicy Marinated Cucumbers : sesame, garlic + chilli",meat,vegetarian,vegetarian,vegetarian
Peking Duck,traditional accompaniments. PLEASE ALLOW AT LEAST ONE HOUR FOR PREPARATION,not vegetarian,115,Peking Duck : traditional accompaniments. PLEASE ALLOW AT LEAST ONE HOUR FOR PREPARATION,meat,meat,meat,meat
Wind Sand Chicken,"3-day marinated whole Lancaster chicken, crispy garlic + bread crumbs. PLEASE ALLOW AT LEAST 45 MINUTES FOR PREPARATION",not vegetarian,49,"Wind Sand Chicken : 3-day marinated whole Lancaster chicken, crispy garlic + bread crumbs. PLEASE ALLOW AT LEAST 45 MINUTES FOR PREPARATION",meat,meat,meat,meat
Hong Kong Style Lobster,"morel mushrooms, wood ear + baby corn",not vegetarian,88,"Hong Kong Style Lobster : morel mushrooms, wood ear + baby corn",meat,vegetarian,meat,meat
Typhoon Shelter Shellfish,"diver scallops, shrimp, dried chilli, garlic + spring onions",not vegetarian,42,"Typhoon Shelter Shellfish : diver scallops, shrimp, dried chilli, garlic + spring onions",meat,vegetarian,vegetarian,meat
Creekstone Farms Ribeye,sichuan spicy doubanjiang OR cantonese black pepper,not vegetarian,55,Creekstone Farms Ribeye : sichuan spicy doubanjiang OR cantonese black pepper,meat,meat,meat,meat
Three Cup Chicken,"bell & evans organic dark meat, basil + shallot",not vegetarian,36,"Three Cup Chicken : bell & evans organic dark meat, basil + shallot",meat,meat,meat,meat
Snow Crab in a Chinese Restaurant,"hand-shelled crab, fermented doubanjiang + glass noodles",not vegetarian,48,"Snow Crab in a Chinese Restaurant : hand-shelled crab, fermented doubanjiang + glass noodles",meat,vegetarian,meat,meat
Crispy Red Snapper,"chinese okra, ginger + soy sauce",not vegetarian,39,"Crispy Red Snapper : chinese okra, ginger + soy sauce",meat,meat,meat,meat
Steak Fried Rice,american wagyu bavette,not vegetarian,27,Steak Fried Rice : american wagyu bavette,meat,meat,meat,meat
Seafood Fried Rice,"octopus, bay scallop, shrimp + house XO",not vegetarian,23,"Seafood Fried Rice : octopus, bay scallop, shrimp + house XO",meat,vegetarian,meat,meat
Zha Jiang Noodle,"peking duck ragu, tomato, english cucumber",not vegetarian,22,"Zha Jiang Noodle : peking duck ragu, tomato, english cucumber",meat,vegetarian,meat,vegetarian
Dan Dan Noodle,niman ranch pork + crushed peanuts. *dinner only*,not vegetarian,21,Dan Dan Noodle : niman ranch pork + crushed peanuts. *dinner only*,meat,meat,meat,meat
Taiwanese Beef Noodle Soup,overnight bone broth + pasture raised beef shank,not vegetarian,24,Taiwanese Beef Noodle Soup : overnight bone broth + pasture raised beef shank,meat,meat,meat,meat
Sichuan String Beans,niman ranch pork + dried shrimp,not vegetarian,15,Sichuan String Beans : niman ranch pork + dried shrimp,meat,meat,meat,meat
Crispy Brussels Sprouts,"chinese sausage, thai chilli + lemon",not vegetarian,15,"Crispy Brussels Sprouts : chinese sausage, thai chilli + lemon",meat,meat,meat,vegetarian
Eggplant,long pepper + house garlic sauce,vegetarian,14,Eggplant : long pepper + house garlic sauce,vegetarian,vegetarian,vegetarian,vegetarian
Pea Shoots,fresh garlic,vegetarian,19,Pea Shoots : fresh garlic,vegetarian,vegetarian,vegetarian,vegetarian
Ma Po Tofu,angus beef + sichuan peppercorn,not vegetarian,16,Ma Po Tofu : angus beef + sichuan peppercorn,meat,meat,meat,meat
Sticky Toffee Donut,fresh chantilly cream,vegetarian,16,Sticky Toffee Donut : fresh chantilly cream,meat,vegetarian,meat,vegetarian
Panna Cotta,mango + grapefruit,vegetarian,13,Panna Cotta : mango + grapefruit,vegetarian,vegetarian,vegetarian,vegetarian
Chocolate Torte,chocolate crunch + black tea cream,vegetarian,15,Chocolate Torte : chocolate crunch + black tea cream,meat,vegetarian,vegetarian,vegetarian
Bacon Egg + Cheese Dumplings,"niman ranch bacon, ny cheddar + free range eggs",not vegetarian,18,"Bacon Egg + Cheese Dumplings : niman ranch bacon, ny cheddar + free range eggs",meat,meat,meat,vegetarian
Shrimp Shao Mai,tiger shrimp + ginger,not vegetarian,15,Shrimp Shao Mai : tiger shrimp + ginger,meat,vegetarian,meat,vegetarian
Sweet Pork Buns,"char siu pork, orange + mantou",not vegetarian,15,"Sweet Pork Buns : char siu pork, orange + mantou",meat,meat,meat,meat
Sweet + Sour Pork,"niman ranch pork, local strawberries + bell pepper",not vegetarian,16,"Sweet + Sour Pork : niman ranch pork, local strawberries + bell pepper",meat,meat,meat,meat
Shrimp Cakes,"tiger shrimp, atlantic cod + almonds",not vegetarian,13,"Shrimp Cakes : tiger shrimp, atlantic cod + almonds",meat,vegetarian,meat,meat
Vegetable Spring Rolls,"napa, shiitake + glass noodle",vegetarian,16,"Vegetable Spring Rolls : napa, shiitake + glass noodle",vegetarian,vegetarian,vegetarian,vegetarian
Braised Pork Sticky Rice,"niman ranch pork belly, shiitake + banana leaf rice",not vegetarian,16,"Braised Pork Sticky Rice : niman ranch pork belly, shiitake + banana leaf rice",meat,meat,meat,meat
Shanghai Pork Chop,pickled scallions,not vegetarian,12,Shanghai Pork Chop : pickled scallions,meat,meat,meat,meat
Turnip Cake,"dried shrimp, lap cheong + pickled peppers",not vegetarian,18,"Turnip Cake : dried shrimp, lap cheong + pickled peppers",meat,vegetarian,vegetarian,vegetarian
Breakfast Dan Dan Noodles,niman ranch bacon + soft poached free range egg,not vegetarian,23,Breakfast Dan Dan Noodles : niman ranch bacon + soft poached free range egg,meat,vegetarian,meat,meat
Add 2 Eggs,scrambled / soft poached / sunny side,vegetarian,8,Add 2 Eggs : scrambled / soft poached / sunny side,meat,vegetarian,meat,vegetarian
